,o2
0,8.24
1,12.84
2,8.64
3,11.0
4,10.03
5,10.5
6,7.4
7,12.72
8,8.7
9,13.01
10,9.21
11,19.76
12,12.07
13,16.05
14,9.05
15,12.91
16,9.04
17,9.64
18,6.64
19,6.0
20,6.37
21,5.79
22,3.53
23,4.02
24,1.46
25,4.03
26,2.59
27,5.76
28,3.29
29,4.35
30,4.49
31,7.23
32,5.28
33,6.06
34,7.15
35,7.31
36,5.83
37,9.16
38,7.0
39,11.7
40,9.6
41,12.03
42,10.24
43,10.64
44,10.11
45,10.87
46,9.08
47,10.26
48,9.26
49,10.26
50,7.85
51,9.88
52,7.88
53,11.43
54,10.76
55,11.77
56,9.46
57,10.32
58,8.55
59,11.36
60,9.4
61,11.67
62,9.91
63,11.92
64,10.48
65,10.83
66,10.74
67,10.48
68,9.36
69,12.0
70,10.4
71,11.93
72,10.263324185674907
73,11.035071668396322
74,10.16
75,10.22
76,10.4
77,11.26
78,9.84
79,9.97
80,8.96
81,9.78
82,9.05
83,8.42
84,8.55
85,10.68
86,9.25
87,9.7
88,8.48
89,11.28
90,8.8
91,10.31
92,8.5
93,11.3
94,7.35
95,9.67
96,7.4181323300879995
97,9.04
98,7.51
99,7.65
100,6.15
101,7.78
102,6.05
103,6.5
104,5.3
105,7.7
106,6.35
107,8.1
108,6.1
109,9.36
110,6.7
111,7.58
112,6.3
113,8.6
114,6.55
115,8.2
116,6.35
117,8.45
118,6.0
119,7.42
120,5.82
121,7.05
122,5.2
123,6.73
124,5.05
125,6.78
