,o2
0,9.17
1,11.11
2,8.27
3,9.3
4,7.95
5,8.87
6,7.31
7,8.35
8,6.87
9,8.62
10,7.42
11,9.68
12,2.82
13,10.26
14,7.14
15,12.95
16,10.53
17,14.7
18,11.0
19,8.8
20,9.98
21,9.55
22,8.72
23,16.5
24,5.88
25,8.85
26,5.4
27,7.48
28,5.69
29,6.16
30,5.62
31,6.7
32,5.18
33,7.34
34,5.41
35,8.1
36,6.04
37,8.43
38,6.06
39,7.34
40,6.53
41,8.46
42,6.12
43,8.5
44,7.43
45,8.76
46,7.34
47,9.17
48,8.91
49,9.65
50,8.48
51,8.44
52,6.78
53,10.38
54,6.98
55,9.32
56,6.69
57,9.66
58,8.22
59,10.07
60,7.87
61,10.53
62,7.0
63,10.68
64,10.31
65,11.66
66,10.23
67,15.11
68,12.86
69,14.79
70,13.1
71,12.93
72,11.838901131407617
73,15.252013919952562
74,10.61
75,17.33
76,14.76
77,15.7
78,12.86
79,12.98
80,11.28
81,12.0
82,12.1
83,12.43
84,12.1
85,13.96
86,12.26
87,13.85
88,2.34
89,11.1
90,8.8
91,10.42
92,13.0
93,12.35
94,10.0
95,14.9
96,8.513517462411496
97,6.92
98,6.94
99,8.62
100,3.77
101,11.2
102,4.14
103,9.3
104,3.76
105,6.77
106,6.36
107,10.9
108,9.74
109,10.4
110,8.4
111,10.64
112,5.43
113,10.25
114,5.35
115,13.52
116,7.45
117,10.5
118,5.74
119,10.33
120,5.05
121,14.23
122,5.1
123,13.03
124,5.28
125,13.56
