,o2
0,8.7
1,9.88
2,9.06
3,9.41
4,8.9
5,9.4
6,8.45
7,8.32
8,8.0
9,7.82
10,7.16
11,8.0
12,7.32
13,7.88
14,7.13
15,7.81
16,6.23
17,7.37
18,7.8
19,8.86
20,7.72
21,10.36
22,8.18
23,9.45
24,8.85
25,8.87
26,6.81
27,8.4
28,7.37
29,8.72
30,6.96
31,7.88
32,7.17
33,6.5
34,6.75
35,7.85
36,6.55
37,8.0
38,6.45
39,7.92
40,7.0
41,9.7
42,7.89
43,6.99
44,6.02
45,6.88
46,7.4
47,9.05
48,7.02
49,6.45
50,7.03
51,6.86
52,6.92
53,5.87
54,6.78
55,5.0
56,6.67
57,5.84
58,6.4
59,8.1
60,7.11
61,7.56
62,7.01
63,7.65
64,6.64
65,8.81
66,6.66
67,9.12
68,7.86
69,9.43
70,6.74
71,5.34
72,7.07
73,4.2
74,3.06
75,3.41
76,6.2
77,6.79
78,4.8
79,7.09
80,5.07
81,6.695
82,4.955
83,6.795
84,5.835000000000001
85,7.359999999999999
86,6.23
87,6.73
88,5.945
89,6.95
90,6.2
91,6.46
92,6.51
93,7.97
94,6.04
95,8.89
96,6.647793664058229
97,9.512100100988988
98,7.09
99,9.68
100,6.23
101,8.16
102,5.8
103,4.965
104,3.9475
105,8.76
106,4.805
107,4.31
108,3.18
109,4.72
110,5.0
111,3.25
112,3.935
113,8.33
114,3.925
115,4.67
116,3.85
117,3.825
118,2.473333333333333
119,7.995
120,3.6888632655477984
121,7.32
122,4.98
123,5.74
124,5.08
125,5.45
126,4.94
127,6.5
128,5.45
129,6.16
130,5.568221258190408
131,10.88
132,5.64
133,10.0
134,7.0
135,8.1
136,5.88
137,8.46
138,5.06
139,9.57
140,6.55
141,6.5
142,5.38
143,7.7
144,5.28
145,8.22
146,5.5
147,6.82
148,5.67
149,6.0
